assetid,date,signal
124706,2006-11-30,-1.0
124706,2007-01-24,0.0
124706,2007-02-07,0.0
124706,2007-02-23,-1.0
124706,2007-03-08,-1.0
124706,2007-04-13,0.0
124706,2007-05-11,0.0
124706,2007-05-22,0.0
124706,2007-06-12,0.0
124706,2007-06-28,0.0
124706,2007-07-12,1.0
124706,2007-08-17,1.0
124706,2007-09-11,0.0
124706,2007-10-10,0.0
124706,2007-10-26,0.0
124706,2007-11-09,0.0
124706,2007-11-27,-1.0
124706,2008-01-04,0.0
124706,2008-01-11,0.0
124706,2008-02-08,0.0
124706,2008-04-07,0.0
124706,2008-06-13,0.0
124706,2008-08-08,-1.0
124706,2008-09-09,0.0
124706,2008-09-19,0.0
124706,2008-12-10,0.0
124706,2009-01-12,-1.0
124706,2009-02-06,0.0
124706,2009-03-10,0.0
124706,2009-05-11,0.0
124706,2009-06-09,0.0
124706,2009-08-07,1.0
124706,2009-09-09,0.0
124706,2009-10-12,0.0
124706,2009-11-12,0.0
124706,2009-12-11,1.0
124706,2010-01-12,1.0
124706,2010-01-15,1.0
124706,2010-02-09,1.0
124706,2010-03-09,0.0
124706,2010-04-09,0.0
124706,2010-07-13,1.0
124706,2010-08-10,1.0
124706,2010-09-13,1.0
124706,2010-10-11,1.0
124706,2010-11-11,1.0
124706,2011-01-13,0.0
124706,2011-02-14,0.0
124706,2011-03-18,-1.0
124706,2011-04-15,1.0
124706,2011-05-13,0.0
124706,2011-06-16,1.0
124706,2011-07-18,0.0
124706,2011-09-13,-1.0
124706,2011-10-17,-1.0
124706,2011-12-08,-1.0
124706,2012-01-19,-1.0
124706,2012-02-17,-1.0
124706,2012-03-14,0.0
124706,2012-06-20,-1.0
124706,2012-10-12,-1.0
124706,2013-01-18,-1.0
124706,2013-02-20,-1.0
124706,2013-04-17,-1.0
124706,2013-06-19,0.0
124706,2013-07-17,0.0
124706,2013-11-15,0.0
124706,2014-01-21,0.0
124706,2014-04-22,-1.0
124781,2006-09-12,-1.0
124781,2006-12-15,0.0
124781,2007-02-05,-1.0
124781,2007-09-20,-1.0
124781,2007-11-27,1.0
124781,2008-04-09,0.0
124781,2008-06-12,-1.0
124781,2008-09-18,-1.0
125055,2016-07-14,
125055,2017-01-13,
125055,2017-06-22,0.0
125055,2017-07-12,0.0
125055,2017-08-21,
125055,2017-10-12,-1.0
125055,2018-01-16,0.0
125055,2018-03-27,0.0
125055,2018-04-13,0.0
125055,2018-04-20,
125055,2018-07-17,-1.0
125055,2018-09-13,-1.0
125055,2018-10-12,0.0
125055,2019-01-18,-1.0
125055,2019-02-19,0.0
125055,2019-04-15,0.0
125055,2019-07-16,0.0
125055,2019-10-11,0.0
