,assetid,date,signal
72,124555,2016-02-09,-1
73,124555,2016-05-16,-1
74,124555,2016-05-16,-1
75,124555,2016-08-12,-1
76,124555,2016-08-12,-1
77,124555,2016-12-12,-1
398,124577,2016-02-18,-1
399,124577,2016-02-18,-1
400,124577,2016-02-18,-1
401,124577,2016-02-18,-1
402,124577,2016-04-29,-1
403,124577,2016-04-29,-1
404,124577,2016-04-29,-1
405,124577,2016-04-29,-1
406,124577,2016-05-04,-1
407,124577,2016-07-28,-1
408,124577,2016-07-28,-1
409,124577,2016-07-28,-1
410,124577,2016-07-28,-1
411,124577,2016-10-27,-1
412,124577,2016-10-27,-1
413,124577,2016-10-27,-1
414,124577,2016-10-27,-1
415,124577,2016-12-05,-1
513,124579,2016-08-11,-1
514,124579,2016-11-14,-1
962,124589,2016-01-06,1
963,124589,2016-01-06,1
964,124589,2016-01-26,1
965,124589,2016-01-28,1
966,124589,2016-01-28,1
967,124589,2016-01-28,-1
968,124589,2016-01-28,-1
969,124589,2016-01-28,-1
970,124589,2016-01-28,-1
971,124589,2016-02-19,-1
972,124589,2016-04-19,1
973,124589,2016-04-22,1
974,124589,2016-04-22,-1
975,124589,2016-04-22,-1
976,124589,2016-04-22,-1
977,124589,2016-07-29,1
978,124589,2016-07-29,-1
979,124589,2016-07-29,1
980,124589,2016-07-29,-1
981,124589,2016-07-29,-1
982,124589,2016-07-29,-1
983,124589,2016-10-21,-1
984,124589,2016-10-28,-1
985,124589,2016-10-28,-1
986,124589,2016-10-28,-1
987,124589,2016-10-28,1
988,124589,2016-10-28,-1
989,124589,2016-11-17,-1
1308,124590,2016-02-04,-1
1309,124590,2016-03-23,-1
1310,124590,2016-03-23,-1
1311,124590,2016-03-23,-1
1312,124590,2016-03-23,-1
1313,124590,2016-04-04,-1
1314,124590,2016-05-26,-1
1315,124590,2016-05-26,-1
1316,124590,2016-08-04,-1
1317,124590,2016-08-18,-1
1318,124590,2016-08-29,-1
1319,124590,2016-08-29,-1
1320,124590,2016-08-29,-1
1321,124590,2016-08-30,-1
1322,124590,2016-08-30,-1
1323,124590,2016-08-30,-1
1324,124590,2016-11-30,-1
1325,124590,2016-12-08,-1
1326,124590,2016-12-08,-1
1327,124590,2016-12-31,-1
1328,124590,2016-12-31,-1
2262,124596,2016-01-20,-1
2263,124596,2016-01-20,1
2264,124596,2016-01-20,1
2265,124596,2016-01-20,-1
2266,124596,2016-01-20,-1
2267,124596,2016-03-04,-1
2268,124596,2016-03-04,-1
2269,124596,2016-03-04,-1
2270,124596,2016-03-04,-1
2271,124596,2016-03-04,-1
2272,124596,2016-03-04,-1
2273,124596,2016-03-04,-1
2274,124596,2016-03-04,-1
2275,124596,2016-03-04,-1
2276,124596,2016-03-17,-1
2277,124596,2016-03-17,-1
2278,124596,2016-03-17,-1
2279,124596,2016-03-17,-1
2280,124596,2016-06-08,-1
2281,124596,2016-06-08,-1
2282,124596,2016-06-09,-1
2283,124596,2016-06-24,-1
2284,124596,2016-08-24,-1
2285,124596,2016-08-24,-1
2286,124596,2016-08-24,-1
2287,124596,2016-08-24,-1
2288,124596,2016-08-24,-1
2289,124596,2016-08-24,-1
2290,124596,2016-08-24,-1
2291,124596,2016-08-24,-1
2292,124596,2016-08-24,-1
2293,124596,2016-08-24,-1
2294,124596,2016-10-31,-1
2295,124596,2016-10-31,-1
2296,124596,2016-10-31,-1
2297,124596,2016-10-31,-1
2298,124596,2016-10-31,-1
2299,124596,2016-10-31,-1
2300,124596,2016-10-31,-1
2301,124596,2016-10-31,-1
2302,124596,2016-10-31,-1
2303,124596,2016-12-14,-1
2304,124596,2016-12-19,-1
2305,124596,2016-12-19,-1
2601,124616,2016-02-02,-1
2602,124616,2016-02-02,-1
2603,124616,2016-02-02,-1
2604,124616,2016-04-27,-1
2605,124616,2016-04-27,-1
2606,124616,2016-08-01,-1
2607,124616,2016-08-01,-1
2608,124616,2016-08-08,-1
2609,124616,2016-10-31,-1
2610,124616,2016-10-31,-1
2770,124618,2016-01-28,-1
2771,124618,2016-01-28,-1
2772,124618,2016-01-28,-1
2773,124618,2016-04-28,-1
2774,124618,2016-04-28,-1
2775,124618,2016-07-28,-1
2776,124618,2016-07-28,-1
2777,124618,2016-07-28,-1
2778,124618,2016-10-27,-1
2779,124618,2016-10-27,-1
3031,124633,2016-02-22,-1
3032,124633,2016-02-22,-1
3033,124633,2016-02-22,-1
3034,124633,2016-02-22,-1
3035,124633,2016-05-06,-1
3036,124633,2016-05-06,-1
3037,124633,2016-05-06,-1
3038,124633,2016-08-09,-1
3039,124633,2016-08-09,-1
3040,124633,2016-08-09,-1
3041,124633,2016-11-03,-1
3042,124633,2016-11-03,-1
3043,124633,2016-11-03,-1
3044,124633,2016-12-01,-1
3145,124637,2016-01-25,-1
3146,124637,2016-01-28,-1
3147,124637,2016-01-28,-1
3148,124637,2016-02-08,-1
3149,124637,2016-02-08,-1
3150,124637,2016-02-08,-1
3151,124637,2016-02-14,-1
3152,124637,2016-02-14,-1
3153,124637,2016-02-16,-1
3154,124637,2016-02-16,-1
3155,124637,2016-02-16,-1
3156,124637,2016-02-16,1
3157,124637,2016-02-16,-1
3158,124637,2016-02-17,-1
3159,124637,2016-02-17,-1
3160,124637,2016-03-01,-1
3161,124637,2016-03-14,-1
3162,124637,2016-03-14,-1
3163,124637,2016-04-28,-1
3164,124637,2016-04-28,-1
3165,124637,2016-05-27,-1
3166,124637,2016-07-26,-1
3167,124637,2016-07-28,-1
3168,124637,2016-07-28,-1
3169,124637,2016-09-23,-1
3170,124637,2016-09-24,-1
3171,124637,2016-11-17,-1
3172,124637,2016-11-17,-1
3355,124647,2016-02-25,-1
3356,124647,2016-02-25,-1
3357,124647,2016-02-25,-1
3358,124647,2016-05-04,-1
3359,124647,2016-05-04,-1
3360,124647,2016-05-04,-1
3361,124647,2016-08-04,-1
3362,124647,2016-08-04,-1
3363,124647,2016-08-04,-1
3364,124647,2016-11-03,-1
3365,124647,2016-11-03,-1
3366,124647,2016-11-03,-1
3608,124656,2016-02-25,-1
3609,124656,2016-02-25,-1
3610,124656,2016-04-28,-1
3611,124656,2016-04-28,-1
3612,124656,2016-07-28,-1
3613,124656,2016-07-28,-1
3614,124656,2016-11-01,-1
3615,124656,2016-11-01,-1
4012,124684,2016-02-02,-1
4013,124684,2016-02-02,-1
4014,124684,2016-02-02,-1
4015,124684,2016-02-02,-1
4016,124684,2016-04-26,-1
4017,124684,2016-04-26,-1
4018,124684,2016-04-26,-1
4019,124684,2016-04-26,-1
4020,124684,2016-07-26,-1
4021,124684,2016-07-26,-1
4022,124684,2016-07-26,-1
4023,124684,2016-07-26,-1
4024,124684,2016-11-01,-1
4025,124684,2016-11-01,-1
4026,124684,2016-11-01,-1
4027,124684,2016-11-01,-1
4220,124697,2016-01-25,-1
4221,124697,2016-03-02,-1
4222,124697,2016-03-02,-1
4223,124697,2016-03-02,-1
4224,124697,2016-03-02,-1
4225,124697,2016-05-04,-1
4226,124697,2016-05-04,-1
4227,124697,2016-05-04,-1
4228,124697,2016-08-03,-1
4229,124697,2016-08-03,-1
4230,124697,2016-08-03,-1
4231,124697,2016-08-03,-1
4232,124697,2016-09-16,-1
4233,124697,2016-11-02,-1
4234,124697,2016-11-02,-1
4235,124697,2016-11-02,-1
4236,124697,2016-11-02,-1
4237,124697,2016-12-17,-1
4238,124697,2016-12-17,-1
4456,124700,2016-03-11,-1
4457,124700,2016-03-11,-1
4458,124700,2016-03-11,-1
4459,124700,2016-03-11,-1
4460,124700,2016-03-11,-1
4461,124700,2016-03-11,-1
4462,124700,2016-05-06,-1
4463,124700,2016-05-06,-1
4464,124700,2016-05-06,-1
4465,124700,2016-05-06,-1
4466,124700,2016-05-06,-1
4467,124700,2016-08-04,-1
4468,124700,2016-08-04,-1
4469,124700,2016-08-04,-1
4470,124700,2016-08-04,-1
4471,124700,2016-08-04,-1
4472,124700,2016-08-04,-1
4473,124700,2016-11-07,-1
4474,124700,2016-11-07,-1
4475,124700,2016-11-07,-1
4476,124700,2016-11-07,-1
4477,124700,2016-11-07,-1
4478,124700,2016-11-07,-1
4734,124701,2016-02-18,-1
4735,124701,2016-02-18,-1
4736,124701,2016-02-18,-1
4737,124701,2016-02-18,-1
4738,124701,2016-03-17,-1
4739,124701,2016-03-28,-1
4740,124701,2016-03-31,-1
4741,124701,2016-03-31,-1
4742,124701,2016-04-28,-1
4743,124701,2016-04-28,-1
4744,124701,2016-04-28,-1
4745,124701,2016-07-28,-1
4746,124701,2016-07-28,-1
4747,124701,2016-07-28,-1
4748,124701,2016-07-28,-1
4749,124701,2016-10-31,-1
4750,124701,2016-11-03,-1
4751,124701,2016-11-03,-1
4752,124701,2016-11-03,-1
4753,124701,2016-11-03,-1
4881,124703,2016-02-12,-1
4882,124703,2016-02-12,-1
4883,124703,2016-02-12,-1
4884,124703,2016-05-06,-1
4885,124703,2016-05-06,-1
4886,124703,2016-08-08,-1
4887,124703,2016-08-08,-1
4888,124703,2016-08-08,-1
4889,124703,2016-11-07,-1
4890,124703,2016-11-07,-1
4891,124703,2016-11-07,-1
5142,124706,2016-01-14,-1
5143,124706,2016-01-16,-1
5144,124706,2016-01-20,-1
5295,124709,2016-02-23,-1
5296,124709,2016-02-23,-1
5297,124709,2016-02-23,-1
5298,124709,2016-04-28,-1
5299,124709,2016-04-28,-1
5300,124709,2016-07-20,-1
5301,124709,2016-07-20,-1
5302,124709,2016-07-20,-1
5303,124709,2016-07-20,-1
5304,124709,2016-10-27,-1
5305,124709,2016-10-27,-1
5306,124709,2016-10-27,-1
5307,124709,2016-10-27,-1
5454,124714,2016-08-02,-1
5455,124714,2016-08-02,-1
5456,124714,2016-11-04,-1
5457,124714,2016-11-04,-1
5815,124717,2016-03-15,-1
5816,124717,2016-08-10,-1
5817,124717,2016-11-09,-1
6758,124739,2016-01-12,-1
6759,124739,2016-01-12,-1
6760,124739,2016-01-12,1
6761,124739,2016-01-12,-1
6762,124739,2016-02-23,-1
6763,124739,2016-03-24,-1
6764,124739,2016-03-24,-1
6765,124739,2016-03-24,-1
6766,124739,2016-03-24,1
6767,124739,2016-03-24,1
6768,124739,2016-05-26,-1
6769,124739,2016-05-26,1
6770,124739,2016-05-26,-1
6771,124739,2016-05-26,-1
6772,124739,2016-11-02,1
6773,124739,2016-11-02,-1
6774,124739,2016-11-22,-1
6775,124739,2016-11-22,-1
6776,124739,2016-11-22,-1
7167,124749,2016-01-27,-1
7168,124749,2016-01-27,-1
7169,124749,2016-01-27,-1
7170,124749,2016-01-27,-1
7171,124749,2016-01-27,-1
7172,124749,2016-01-27,-1
7173,124749,2016-01-27,-1
7174,124749,2016-03-30,-1
7175,124749,2016-04-04,-1
7176,124749,2016-04-25,-1
7177,124749,2016-04-25,-1
7178,124749,2016-04-25,-1
7179,124749,2016-04-25,-1
7180,124749,2016-04-25,-1
7181,124749,2016-04-25,-1
7182,124749,2016-04-25,-1
